Number of active threads,Average Overall Response Times,Overall Response Times
1,,3.3541666666666665
2,,3.0279318156231656
3,,3.53558052434457
4,,3.6915023525996706
5,,4.047407407407408
6,,3.8732071141709707
7,,3.751677852348993
8,,3.2165754049253303
9,,2.511709205637856
10,,2.5429920800952703
11,,2.8903330625507686
12,,2.7303646397058414
13,,2.7731230405838576
14,,2.9267912348384257
15,,3.0174108311823535
16,,3.3158882289444906
17,,3.3286115098882902
18,,3.2287789064336563
19,,3.5414721106864584
20,,3.951059303744078
21,,3.7878197548137797
22,,3.7379811864369263
23,,4.018532909674374
24,,4.421016606425603
25,,3.9199092615207283
26,,4.5163719041710575
27,,4.962058921143358
28,,4.676283137533666
29,,4.9261832885449195
30,,5.599228197939863
31,,4.81411561064095
32,,5.028620063778169
33,,5.341305294267117
34,,5.482879618588268
35,,5.372076930533168
36,,5.688292128078224
37,,6.047228175323542
38,,6.315626751255787
39,,6.302924460661674
40,,6.089699589272704
41,,6.091604696943166
42,,6.133815515456808
43,,6.343111350816826
44,,6.228610054292633
45,,6.63719048586003
46,,6.6622008887088375
47,,6.497416066033141
48,,6.781424588791024
49,,8.007975206711565
50,,6.955200293440202
51,,6.921329281616657
52,,7.718655389638281
53,,6.982043003854223
54,,7.08141342317288
55,,7.436970228663644
56,,8.726435091200349
57,,8.562659849356479
58,,7.82408124696358
59,,7.915077130558422
60,,8.823269236575237
61,,8.19400897949696
62,,7.89404053226226
63,,8.925535036236655
64,,10.077294042731902
65,,9.468372238463669
66,,9.825275144246277
67,,8.82081573343737
68,,8.83459647307473
69,,9.34460010734231
70,,9.459871007064349
71,,10.231158956724856
72,,10.109627253827599
73,,10.74759931731249
74,,10.824023431058828
75,,11.298838300710273
76,,9.299722340121685
77,,9.40772159915547
78,,9.198219660908766
79,,9.269865503641256
80,,10.583697603037391
81,,10.243766250085763
82,,11.701573224657116
83,,9.985551378940354
84,,10.624780800380135
85,,10.775634268714425
86,,10.554798960861438
87,,10.52786945929047
88,,10.068159159577213
89,,11.066841674644696
90,,12.347745962418411
91,,10.32603644511987
92,,10.348706941398168
93,,9.875892278163263
94,,10.412075773375541
95,,11.271781835291902
96,,11.264750195327974
97,,11.771000617627973
98,,11.636783783741361
99,,12.261978511147147
100,,12.727993761821878
101,,10.523142249959998
102,,10.810476076015032
103,,11.15295276169391
104,,13.28240307840117
105,,12.510174560246941
106,,11.977453716640413
107,,12.85898753679094
108,,13.384764084015167
109,,11.943776860941016
110,,10.954900199249321
111,,15.636024577725092
112,,9.565773660496953
