Number of active threads,Average HTTP Request,HTTP Request
1,,967.0602097751421
2,,1979.2880807856845
3,,2864.297745826926
4,,3817.4709747111146
5,,4658.049773230886
6,,5597.731280350099
7,,6422.928321340176
8,,7212.912045490351
9,,8499.430571439752
10,,9349.525723403232
11,,9387.066434482787
12,,10753.830112235317
13,,11209.40134429412
14,,11934.369175183918
15,,12086.831849118367
16,,12118.910096354624
17,,13865.943913744712
18,,12685.706935272594
19,,13319.863402975148
20,,14427.33294190921
21,,16195.249230925376
22,,15007.197381423239
23,,16064.060500972277
24,,16159.941050553974
25,,14937.15788043213
26,,17426.032280743842
27,,16388.454396041743
28,,17231.325803448686
29,,17487.641503617844
30,,18161.682858822656
31,,19328.68035498639
32,,19887.066168446334
33,,20410.693903297382
34,,21470.33224056748
35,,20608.24039767336
36,,20128.64261064207
37,,19688.64665793607
38,,21181.703045470855
39,,20910.14603236384
40,,18216.375281097004
41,,21849.954070386902
42,,21325.11842069371
43,,20663.30976798154
44,,20305.933596718187
45,,21672.94849521154
46,,21613.185654692486
47,,20963.57799264437
48,,22201.215558596097
49,,22933.338827342028
50,,23413.261245830563
51,,23427.803404916456
52,,24911.700211190328
53,,24559.277487165593
54,,24364.602479335936
55,,24400.106288036277
56,,22766.5069477257
57,,25844.298113809684
58,,26754.26037187635
59,,24769.057514619457
60,,25956.943171356743
61,,23598.801417568393
62,,26701.93912642048
63,,26531.152306040825
64,,26019.471932476517
65,,24518.421840367737
66,,28733.01701007128
67,,27243.38105126396
68,,28755.504670280236
69,,28907.442437285008
70,,29450.70686255291
71,,30004.85523193041
72,,29207.13503940717
73,,30181.19328463551
74,,32019.521380438833
75,,31927.77039471614
76,,30001.099968009326
77,,30561.480678263535
78,,30241.838914390137
79,,32346.653742789687
80,,30987.856762914947
81,,31912.834084239606
82,,27958.93919870981
83,,29780.879156462972
84,,32043.92036156895
85,,31746.418897664145
86,,33557.39114672035
87,,32807.28055254097
88,,31890.23990015865
89,,32536.16393730644
90,,28912.217201116524
91,,32424.574962622028
92,,35005.416106999655
93,,31712.061653838322
94,,33472.67336902253
95,,35193.55015597697
96,,30913.74960812319
97,,31309.429198785347
98,,36355.387752131675
99,,35218.57439441538
100,,34174.05061616329
101,,30837.8255686306
102,,33987.503584251164
103,,34116.447859184074
104,,31754.750138327676
105,,34023.75732447819
106,,31813.00576676914
107,,31038.569863532404
108,,33769.39169232357
109,,32358.36858475144
110,,33236.70898847726
111,,31653.72237867052
112,,34566.41424323542
113,,33571.72258451597
114,,32816.53304317542
115,,36245.596722611655
116,,35377.10826157915
117,,32168.533635489188
118,,34852.481640232436
119,,33987.17201637713
120,,37044.66570963564
121,,33512.87992223715
122,,38030.284582577886
123,,32236.932237712717
124,,37179.57612396973
125,,30989.920440668506
126,,35465.50394113357
127,,37316.96172318168
128,,45145.36436092185
129,,32387.170458576107
130,,44823.491799226074
131,,36372.87499773975
132,,34455.40557235944
133,,36805.19464964916
134,,36908.829111429564
