Number of active threads,Average HTTP Request,HTTP Request
1,,125.0047971754231
2,,666.6666666666666
3,,1000.0408029386657
4,,1000.0
5,,833.3429769812553
6,,1000.0364852538765
7,,777.8034032599859
8,,2000.0141223489702
9,,9000.0
10,,1000.0175907064779
11,,3666.6666666666665
12,,1333.5162935533222
13,,4333.333333333333
14,,2333.4579561559776
15,,1666.7486098724348
16,,4000.2482852797866
17,,2833.441997025598
18,,6000.0
19,,1583.387742812219
20,,3333.4125556867125
21,,3500.041960724762
22,,5500.0
23,,3833.3944284770664
24,,2666.795689741059
25,,4166.806779205058
26,,4333.404285511565
27,,9000.0
28,,4666.8691898663465
29,,4833.611047268827
30,,7500.05352803263
31,,7750.14593042414
32,,8000.053113796309
33,,5500.055887114802
34,,8500.093808630394
35,,11666.666666666666
36,,9000.068123758161
37,,4111.5590226954455
38,,6333.399947409939
39,,6500.071632185259
40,,6666.766558284262
41,,6833.544212648644
42,,7000.065573156224
43,,7166.847017638046
44,,7334.086654796146
45,,7500.108062935854
46,,7666.767010890984
47,,5875.084467656076
48,,8000.249475062888
49,,16333.333333333334
50,,25000.0
51,,5666.884931903848
52,,17333.333333333332
53,,8833.521286340396
54,,13501.030691708658
55,,18333.333333333332
56,,6222.397266829358
57,,19000.0
58,,9666.804624603767
59,,6555.7260842572105
60,,10000.223541947646
61,,61000.0
62,,31000.0
63,,31500.0
64,,10666.937391956639
65,,7222.896466906466
66,,11000.219701206359
67,,22333.333333333332
68,,17000.372811105386
69,,23000.166845699772
70,,11666.82208476355
71,,23666.666666666668
72,,8000.46201494811
73,,24333.333333333332
74,,24666.666666666668
75,,6250.435771340662
76,,12666.84830408015
77,,25666.666666666668
78,,13000.205630982724
79,,26333.333333333332
80,,13333.517488613066
81,,9000.298311490349
82,,10250.186187604446
83,,10375.843581664803
84,,16800.0
85,,7083.882925283113
86,,7166.979484759117
87,,14500.187340114902
88,,44000.0
89,,29666.666666666668
90,,15000.614556012022
91,,15167.532086349665
92,,15333.496922042868
93,,46500.0
94,,10444.749694076681
95,,31666.666666666668
96,,10666.945078379345
97,,32333.333333333332
98,,16333.632911731851
99,,33000.0
100,,11111.930435282286
101,,50500.0
102,,34000.0
103,,12875.543569229108
104,,34666.666666666664
105,,17500.33188987578
106,,11778.159590510013
107,,35666.666666666664
108,,18000.787425882085
109,,27250.248646133212
110,,55000.0
111,,18500.978529242486
112,,18666.90579078917
113,,56500.0
114,,12667.185919190657
115,,57500.0
116,,38666.666666666664
117,,29250.942643014434
118,,59000.0
119,,59500.0
120,,10000.738225554796
121,,20167.191936030005
122,,20333.69177101512
123,,61500.0
124,,62000.0
125,,10417.300218963339
126,,42000.0
127,,21167.650260519044
128,,64000.0
129,,43000.697564574606
130,,43333.333333333336
131,,21834.23846736785
132,,66000.0
133,,14779.31293541206
134,,44666.666666666664
135,,22500.437260445386
136,,45333.333333333336
137,,22834.652591033195
138,,69000.0
139,,23167.16071093397
140,,46666.666666666664
141,,23501.046394661815
142,,23667.41265304979
143,,35750.25982332014
144,,24000.452318130418
145,,72500.90428318408
146,,24333.57731729055
147,,18377.43611414935
148,,37000.559851109865
149,,37250.25496759002
150,,37500.382294172814
151,,37750.24104617231
152,35564.87594015059,25333.90400672794
153,,153000.0
154,,51333.333333333336
155,,38752.03039035892
156,,78000.0
157,,52333.333333333336
158,,52666.666666666664
159,,26500.32962658905
160,,53333.333333333336
161,,53666.666666666664
162,,40500.29868798537
163,,163000.0
164,,82000.0
165,,82500.0
166,,27667.503579567227
167,,55667.12675760993
168,,84000.0
169,,42250.370315184235
170,,85000.0
