Number of active threads,Average HTTP Request,HTTP Request
1,,468.1735875684379
2,,933.2610544748753
3,,1937.7490977018228
4,,2868.4107288097384
5,,3089.416832882166
6,,3346.5315354565637
7,,4522.830798548595
8,,3959.8124274274032
9,,5298.3810180266355
10,,5707.262524711283
11,,7025.796843896083
12,,8064.022347847792
13,,7849.755232544513
14,,8433.478304422357
15,,9905.461727877264
16,,10518.327107693356
17,,10414.274034474342
18,,11619.981764656211
19,,12010.776964820338
20,,11223.056961095515
21,,12414.287257233198
22,,13750.92740081342
23,,12968.317712019762
24,,14248.673167003277
25,,14845.70318517165
26,,15518.423257025623
27,,16265.555077966876
28,,17093.24833587166
29,,13790.749942055098
30,,17888.154910528476
31,,17468.716999575954
32,,17225.46669703172
33,,19348.43312880574
34,,18025.105082560105
35,,20222.681670522838
36,,21875.987319326337
37,,19509.660838336666
38,,20897.87269589205
39,,21825.683118106088
40,,14421.631595791865
41,,24492.821099959456
42,,23523.914658190955
43,,20032.317168309703
44,,15818.826058703782
45,,18636.880482702378
46,,19545.972148724723
47,,24895.988889534576
48,,19969.463368773595
49,,24598.113527815858
50,,19792.61602275185
51,,25879.529790911532
52,,25924.107550576664
53,,20532.709783148057
54,,20912.063676068046
55,,21057.85706970204
56,,26658.683682859886
57,,33649.45754542586
58,,27068.332096096947
59,,32093.35697259437
60,,27639.221486676288
61,,28551.53003220145
62,,28373.89996082217
63,,24196.078353676818
64,,23700.573196440826
65,,34425.177733693185
66,,33726.526951916865
67,,23005.761660785483
68,,25404.226159111564
69,,18862.295238981635
70,,20641.01350512914
71,,18014.15742123567
72,,21981.935544739335
73,,22513.825014003094
74,,26159.485125247953
75,,21628.31303782373
76,,19448.398926823862
77,,22171.46618436243
78,,24488.533188710782
79,,24878.375311738357
80,,21372.41728524904
81,,23569.72699872242
82,,20825.90291569491
83,,20135.111293758393
84,,26851.83387471252
85,,17935.140428201397
86,,21262.993751776685
87,,20881.124498028177
88,,22169.073691280777
89,,22912.885710591476
90,,19911.03085842512
91,,25762.305459663887
92,,26779.274460982124
93,,21616.838358530822
94,,20773.319008135702
95,,21079.11688307194
96,,17583.891374160296
97,,24172.250804963787
98,,22248.551041839088
99,,27850.319247251613
100,,18973.86186936933
101,,21398.100695843852
102,,25236.99025163038
103,,23618.57933029159
104,,19456.331878934794
105,,20644.696004861322
106,,23091.694914534346
107,,24992.696576162085
108,,29151.55451467387
109,,23941.90169011984
110,,22015.450451075994
111,,21526.49619884339
112,,22352.541630042328
113,,17480.178667915658
114,,21767.982049805367
115,,24047.23087392346
116,,21097.629588898944
117,,21270.159206248445
